ima_formula,mineral_name_plain,cation_charge,so4_charge,non_s_anion_charge,cat_mols,na_mols,nh4_mols,fe_mols,co_mols,al_mols,k_mols,mg_mols,mn_mols,ni_mols,ca_mols,zn_mols,y_mols,cu_mols,u_mols,s_mols,non_s_anion_mols,h_mols,h2o_mols,oh_mols,_ima_validity,chemistry,chemIG,Z_chemical_formula_units,elements,number_of_elements,U_redox,no_localities,no_localities_corrected_below_10,_mineral_id,paragenetic_mode,metamorphic,primary,secondary,abiotic,biotic,v_anhydrous,IG_anhydrous,IG_total_anhydrous,IG_n_anhydrous,v_hydrous,IG_hydrous,Igmax_hydrous,IG_total_hydrous,IG_n_hydrous,_H_atoms,_H_dummy,_A_min_cif,_ICSD_code,discovery,discovery_method,max_size_cm,color,luster,hardness,avg_hardness,topology,anion_topology,structure,_pdf_of_journal,_Xstal_data_from_mindat,structure_type,a,b,c,alpha,beta,gamma,volume,crystal_system,point_group,space_group,multiplicity,lattice,_delta_Gf,_delta_Hf,_delta_Sf,max_age_Ma,_mindat_locality_ID,unique_ages,unique_ages_with_parents,locality_max_age,location,_ref,_excel_id,_rruff_locality_link,_mindat_locality_link
Na5(UO2)8(SO4)4O5(OH)3·12H2O,Natrozippeite,5,-8,-13,5,5,,,,,,,,,,,,,8,4,8,27,12,3,A,Na_5_(U^6+^O_2_)_8_(S^6+^O_4_)_4_O_5_(OH)_3_·12H_2_O,1.71,,Na U O S H,5,6,40,40,4136,"72,76",0,0,1,0,1,276,6.109,1685.953,0.753,384,6.585,8.585,2528.626,0.767,0,1,1,,1971,,,yellow,9,5-5.5,5.25,sheet,Zippeite,,Y,N,Zippeite,17.6425,14.6272,17.6922,90,104.461,90,4421,monoclinic,2/m,P21/n,,P,-12523,-18015.84,C,725,33904,14,57,"Vrchoslav Fluorite Deposit, Krupka (Graupen), Kru_né Hory Mts (Erzgebirge), Ústí Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.6925,13.833333333333",NJMA187_289,Kristen001373,http://rruff.info/mineral_list/locality.php?mineral_name=Natrozippeite,https://www.mindat.org/min-3694.html
Na6(UO2)(SO4)4(H2O)4,Klaprothite,6,-8,0,6,6,,,,,,,,,,,,,1,4,0,8,4,0,A,Na_6_(U^6+^O_2_)(S^6+^O_4_)_4_(H_2_O)_4_,1.81,4,Na U O S H,5,6,1,1,6487,"72,76",0,0,1,0,1,132,5.075,669.86,0.72,164,5.382,7.358,882.639,0.731,1,,1,,2015,,0.001,yellow-green,,2.5,2.5,cluster,,,Y,N,,9.8271,9.7452,20.8725,90,98.743,90,1975.66,monoclinic,2/m,P21/c,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.55724,-110.29684",AM102_595,Anthropocene-028,http://rruff.info/mineral_list/locality.php?mineral_name=Klaprothite,https://www.mindat.org/min-46969.html
Na6(UO2)2(SO4)5(H2O)7·1.5H2O,Ottohahnite,6,-10,0,6,6,,,,,,,,,,,,,2,5,0,17,8.5,0,A,Na_6_(U^6+^O_2_)_2_(S^6+^O_4_)_5_(H_2_O)_7_·1.5H_2_O,1.78,2,Na U O S H,5,6,1,1,6496,"72,76",0,0,1,0,1,94,5.555,522.131,0.847,126,6,6.977,768,0.86,,,0,,2015,,0.0001,yellowish-green,2,2.5,2.5,cluster,,,Y,N,,9.97562,11.6741,14.2903,113.518,104.282,91.4,1464.59,triclinic,-1,P-1,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-041,http://rruff.info/mineral_list/locality.php?mineral_name=Ottohahnite,https://www.mindat.org/min-47026.html
Na6(UO2)(SO4)4(H2O)4,Peligotite,6,-8,0,6,6,,,,,,,,,,,,,1,4,0,8,4,0,A,Na_6_(U^6+^O_2_)(S^6+^O_4_)_4_·4H_2_O,1.81,2,Na U O S H,5,6,1,1,6488,"72,76",0,0,1,0,1,12,2.585,31.02,0.721,82,5.382,6.358,441.319,0.847,0,,1,,2015,,0.0005,yellowish-green,2,2.5,2.5,cluster,,,Y,N,,9.81511,9.9575,10.6289,88.68,73.99,89.205,998.22,triclinic,-1,P-1,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-043,http://rruff.info/mineral_list/locality.php?mineral_name=Peligotite,https://www.mindat.org/min-46970.html
Na7(UO2)(SO4)4(SO3OH)(H2O)3,Belakovskiite,7,-9,-1,7,7,,,,,,,,,,,,,1,5,0,7,3,0,A,Na_7_(U^6+^O_2_)(S^6+^O_4_)_4_(S^6+^O_3_OH)·3H_2_O,1.78,2,Na U S O H,5,6,1,1,6234,"72,76",0,0,1,0,1,75,5.242,393.161,0.842,91,5.519,6.508,502.209,0.848,0,,1,,2013,,0.2,yellow-green,2,2,2,cluster,Belakovskiite,,Y,N,,5.4581,11.3288,18.4163,104.786,90.092,96.767,1092.76,triclinic,-1,P-1,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-013,http://rruff.info/mineral_list/locality.php?mineral_name=Belakovskiite,https://www.mindat.org/min-45960.html
Na7(UO2)(SO4)4Cl(H2O)2,Bluelizardite,7,-8,-1,7,7,,,,,,,,,,,,,1,4,1,4,2,0,A,Na_7_(U^6+^O_2_)(S^6+^O_4_)_4_Cl^1-^·2H_2_O,1.91,8,Na U S O Cl H,6,6,1,1,6227,"72,76",0,0,1,0,1,132,5.075,669.86,0.72,148,5.236,7.209,774.999,0.726,1,,1,,2013,,0.4,pale yellow,2,2,2,cluster,Bluelizardite,,Y,N,,21.1507,5.3469,34.6711,90,104.913,90,3788.91,monoclinic,2/m,C2/c,,C,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-014,http://rruff.info/mineral_list/locality.php?mineral_name=Bluelizardite,https://www.mindat.org/min-45881.html
Na8[(UO2)(CO3)3](SO4)2?3H2O,Jezekite,8,-4,-6,8,8,,,,,,,,,,,,,1,2,3,6,3,0,A,Na_8_[(U^6+^O_2_)(C^4+^O_3_)_3_](S^6+^O_4_)_2_·3H_2_O,1.95,1,Na U O C S H,6,6,1,1,6377,72,0,0,1,0,1,47,3.404,160.007,0.613,,,#NUM!,,#NUM!,,,1,,2014,,0.02,yellow,2,2,2,sheet,,,Y,N,,9.0664,9.0664,6.911,90,90,120,491.97,hexagonal,-6m2,P-62m,,P,,,,0,188817,1,8,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911666666667",AM102_595,Anthropocene-026,http://rruff.info/mineral_list/locality.php?mineral_name=Jezekite,https://www.mindat.org/min-46526.html
Na10[(UO2)(SO4)4](SO4)2·3H2O,Lussierite,10,-12,0,10,10,,,,,,,,,,,,,1,6,0,6,3,0,A,Na_20_(U^6+^O_2_)(S^6+^O_4_)_6_(H_2_O)_3_,,4,Na U O S H,5,6,1,1,6830,72,0,0,1,0,1,,,,,104,5.7,6.7,592.846,0.851,1,,0,,2018,,,yellow-green,2,2.5,2.5,cluster,,,Y,Y,,9.3134,28.7501,9.6346,90,93.442,90,2575.1,monoclinic,m,Cc,4,C,,,,252,38665,1,1,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.55724,-110.29684",MM77_367,Michelle_746,http://rruff.info/mineral_list/locality.php?mineral_name=Lussierite,http://www.mindat.org/loc-38665.html
(NH4)(UO2)(SO4)(OH)·2H2O,Meitnerite,1,-2,-1,1,,1,,,,,,,,,,,,1,1,1,5,2,1,A,(NH_4_)(UO_2_)(SO_4_)(OH)Â·2H_2_O,,,N U S O H,5,6,,,,,,,,,,,,,,42,4.392,5.392,184.477,0.814,,,,,,,,greenish yellow,,2,2,,,,,,,6.774,8.031,9.269,113.22,99.11,105.37,426.7,triclinic,-1,P-1,,,,,,,,,,,,,,,
(NH4)2[(UO2)2(SO4)O2]·H2O,Ammoniozippeite,2,-2,-4,2,,2,,,,,,,,,,,,2,1,2,2,1,0,A,(NH_4_)_2_[(UO_2_)_2_(SO_4_)O_2_]Â·H_2_O,,,N U S O H,5,6,,,6705,,,,,,,,,,,104,4.085,6.7,424.846,0.61,,,,,2017,,0.02,yellowish-orange,,2.5,2.5,,,,,,,8.7944,14.3296,17.1718,90,90,90,2164,orthorhombic,,,,,,,,,,,,,,,,,
